run,region,is_soz,rms_uv,peak_to_peak_uv,std_uv,line_length_uv,delta_power,theta_power,alpha_power,beta_power,gamma_power,high_gamma_power
run-01,early_before,False,114.577185,930.654141,114.577185,2.966131,5015.421679,1275.98379,293.140167,75.527395,28.565356,1.642186
run-01,early_before,True,110.188197,898.75639,110.188197,3.099225,4601.638029,1234.69342,269.189686,108.63356,33.140972,3.651648
run-01,early_ictal,False,96.899771,811.588085,96.899771,3.435522,1355.106947,523.917258,487.567085,73.585146,34.532801,2.969022
run-01,early_ictal,True,103.585756,933.173961,103.585756,3.860012,731.115451,393.906572,558.40855,222.296042,89.895095,9.216658
run-01,late_ictal,False,168.787566,1074.408747,168.787566,7.297023,8913.297482,3118.970185,1809.756611,1789.543925,181.557401,28.037945
run-01,late_ictal,True,142.534153,848.910252,142.534153,5.981364,3088.69439,4723.808507,1120.732776,846.189631,61.0593,11.488038
run-01,middle_ictal,False,114.450184,675.65487,114.450184,4.223933,3844.342566,2880.796716,481.837145,182.342922,47.387313,5.634741
run-01,middle_ictal,True,144.566852,710.222697,144.566852,4.488691,2025.568005,1993.161329,432.727296,257.157574,98.528334,12.870646
run-01,post_ictal,False,173.327788,1106.123756,173.327788,5.092488,12064.694151,780.048067,342.471106,254.021322,53.787482,10.610478
run-01,post_ictal,True,112.098148,836.872579,112.098148,4.200397,5226.032534,349.551971,85.736026,36.93442,28.37297,3.951511
run-01,preictal_candidate,False,123.462402,1093.36831,123.462402,3.313571,5938.743216,1279.039709,312.61781,87.5492,30.823946,2.46991
run-01,preictal_candidate,True,115.097554,1043.886642,115.097554,3.196932,5365.902614,1141.124431,284.2953,150.013771,36.038068,3.645686
run-02,early_before,False,165.900715,1163.970982,165.900715,3.279514,12253.185768,2587.680846,496.00899,141.953715,24.506181,2.521991
run-02,early_before,True,150.591276,1017.437671,150.591276,3.04137,7828.251565,1776.407313,330.527492,161.452233,27.468371,3.577815
run-02,early_ictal,False,103.876185,813.269319,103.876185,4.205365,3149.101947,1433.261266,291.772751,91.841056,36.617661,7.202645
run-02,early_ictal,True,92.887564,841.280741,92.887564,4.153758,1063.482286,968.169843,305.26504,167.161305,63.364735,9.658181
run-02,late_ictal,False,170.423204,1096.895246,170.423204,10.362474,7053.341679,6018.594111,3050.661521,2842.355524,289.149537,66.408608
run-02,late_ictal,True,142.918689,855.01386,142.918689,7.855281,3628.220843,5155.629027,2220.479449,1162.021773,93.950189,27.667791
run-02,middle_ictal,False,142.635781,864.546942,142.635781,5.047561,6166.433678,3122.328003,865.75947,799.47291,97.238047,10.444219
run-02,middle_ictal,True,152.534487,844.671634,152.534487,4.640676,3175.355286,1692.438715,432.033722,228.991515,69.267937,11.598842
run-02,post_ictal,False,295.340113,1908.720896,295.340113,4.853755,64473.445499,7843.977257,3172.406662,2730.630058,1480.239863,506.316987
run-02,post_ictal,True,130.989564,1179.013759,130.989564,3.65016,6853.10191,372.61589,62.451806,29.347896,9.803286,6.843907
run-02,preictal_candidate,False,158.612992,1188.769177,158.612992,4.295735,11825.157348,2784.569145,485.554627,143.389979,32.247872,7.714856
run-02,preictal_candidate,True,144.544081,1073.217873,144.544081,3.829137,8567.668122,2261.648793,437.142911,176.433137,31.359381,5.437782
run-03,early_before,False,152.40229,1045.900874,152.40229,3.142847,12388.352653,2956.065755,375.313191,139.119837,17.351226,3.107471
run-03,early_before,True,137.711414,1019.472207,137.711414,3.011415,7924.302623,2341.584657,360.963017,184.590322,28.647456,4.684462
run-03,early_ictal,False,91.95578,653.314566,91.95578,3.227042,1966.50006,1168.761508,376.614873,81.024938,18.388092,4.881989
run-03,early_ictal,True,79.913474,607.478616,79.913474,3.255988,811.68833,821.236598,352.148496,135.446164,41.108609,5.702352
run-03,late_ictal,False,339.70315,2116.700451,339.70315,11.175652,223392.767939,36310.274392,16313.782236,14218.170882,5232.399661,2058.188228
run-03,late_ictal,True,185.342134,1206.479998,185.342134,9.273813,5736.668282,4092.517291,3162.692584,3588.884634,471.621687,66.938733
run-03,middle_ictal,False,150.25918,932.865329,150.25918,4.645715,5605.445894,4598.452712,1053.794751,799.033994,77.097024,10.819648
run-03,middle_ictal,True,166.839558,912.998143,166.839558,4.090647,2914.594445,2364.066745,552.420395,213.167472,47.901712,10.895144
run-03,post_ictal,False,258.486094,1407.99655,258.486094,5.238759,102741.210794,14262.747882,8781.358015,6922.793778,4154.10188,1020.190869
run-03,post_ictal,True,125.731424,886.040538,125.731424,4.021459,4865.325919,225.749648,45.424313,17.512234,10.389653,7.836384
run-03,preictal_candidate,False,155.664779,1185.114322,155.664779,3.039857,12499.249703,3309.952109,436.479031,124.364667,15.908131,2.599857
run-03,preictal_candidate,True,140.192264,1089.155074,140.192264,3.016901,8982.820415,2644.977003,436.923129,243.360217,35.556593,4.284219
